fighter,rating
Jon Jones,1354.46
Georges St-Pierre,1313.66
Islam Makhachev,1307.06
Khabib Nurmagomedov,1254.88
Belal Muhammad,1244.17
Charles Oliveira,1242.88
Leon Edwards,1235.68
Francis Ngannou,1233.94
Max Holloway,1230.64
Amanda Nunes,1223.48
Dricus Du Plessis,1214.11
Demetrious Johnson,1213.98
Kamaru Usman,1212.4
Merab Dvalishvili,1205.74
Dustin Poirier,1205.14
Aljamain Sterling,1199.45
Stipe Miocic,1198.63
Alexander Volkanovski,1197.64
Alex Pereira,1195.58
Magomed Ankalaev,1194.64
Ilia Topuria,1192.38
Daniel Cormier,1192.17
Khamzat Chimaev,1190.61
Ciryl Gane,1189.57
Valentina Shevchenko,1185.39
Alexandre Pantoja,1185.39
Robert Whittaker,1185.05
Grant Dawson,1181.34
Movsar Evloev,1179.19
Shavkat Rakhmonov,1176.37
Zhang Weili,1175.88
Royce Gracie,1175.75
Ryan Bader,1174.06
Deiveson Figueiredo,1172.84
Tom Aspinall,1169.95
Arman Tsarukyan,1168.61
Beneil Dariush,1168.34
Vicente Luque,1167.54
Brendan Allen,1165.49
Sean O'Malley,1164.98
Glover Teixeira,1164.07
Cain Velasquez,1163.66
Jon Fitch,1162.15
Arnold Allen,1161.78
TJ Dillashaw,1161.62
Joaquin Buckley,1161.5
Jack Della Maddalena,1158.74
Curtis Blaydes,1157.76
Alexander Volkov,1154.33
Gegard Mousasi,1154.26
Anthony Johnson,1152.8
Nassourdine Imavov,1152.69
Benson Henderson,1151.86
Don Frye,1151.03
Jailton Almeida,1150.77
Sean Strickland,1150.31
Michael Bisping,1150.14
Demian Maia,1147.93
Henry Cejudo,1147.65
Cory Sandhagen,1147.37
Colby Covington,1147.28
Manon Fiorot,1144.7
Jan Blachowicz,1143.06
Mario Bautista,1142.46
Israel Adesanya,1142.32
Francisco Trinaldo,1141.2
Lerone Murphy,1140.47
Petr Yan,1140.1
Justin Gaethje,1139.5
Caio Borralho,1138.69
Ian Machado Garry,1138.65
Conor McGregor,1138.31
John Lineker,1137.51
Maycee Barber,1137.44
Sean Brady,1137.36
Dan Hooker,1136.56
Renato Moicano,1134.73
Randy Brown,1134.32
Muhammad Mokaev,1133.43
Song Yadong,1133.31
Dong Hyun Kim,1131.59
Erin Blanchfield,1131.43
Josh Emmett,1130.39
Lyoto Machida,1129.43
Matt Hughes,1128.47
Carlos Ulberg,1128.16
Paddy Pimblett,1128.14
Gilbert Burns,1128.13
Jose Aldo,1128.08
Marlon Vera,1127.38
Raquel Pennington,1127.18
Fabricio Werdum,1126.84
Michael Chiesa,1126.23
Rustam Khabilov,1125.49
Brandon Moreno,1125.36
Gregor Gillespie,1124.92
Montel Jackson,1124.35
Tatiana Suarez,1124.19
Yair Rodriguez,1124.0
Kenny Florian,1123.68
Randy Couture,1123.36
Derek Brunson,1122.32
Bryan Battle,1122.01
Derrick Lewis,1121.87
Michel Pereira,1121.76
TJ Grant,1120.87
Norma Dumont,1120.29
Yoel Romero,1119.34
Elizeu Zaleski dos Santos,1118.8
Anthony Hernandez,1118.24
Zabit Magomedsharipov,1118.06
Nate Diaz,1117.47
Natalia Silva,1117.47
Rose Namajunas,1117.38
Jared Cannonier,1116.99
Michael Morales,1116.55
Joel Alvarez,1116.12
Joseph Benavidez,1115.9
Sergei Pavlovich,1114.87
Giga Chikadze,1114.35
Brian Ortega,1114.3
Umar Nurmagomedov,1114.25
Jim Miller,1114.03
Mateusz Gamrot,1113.58
Gunnar Nelson,1113.15
Chris Gutierrez,1112.74
Julianna Pena,1112.43
Zak Cummings,1111.31
Roman Dolidze,1111.22
Phil Davis,1111.06
Diego Lopes,1110.59
Sean Woodson,1108.86
Yan Xiaonan,1108.69
Geoff Neal,1107.62
Neil Magny,1107.19
James Krause,1107.04
Frank Shamrock,1106.91
Jake Matthews,1106.78
Alistair Overeem,1106.64
Kyoji Horiguchi,1106.33
Marcin Tybura,1106.13
Brandon Royval,1105.3
Anthony Pettis,1104.86
Tyron Woodley,1104.79
Jack Hermansson,1104.52
